name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"accumulate_good_data/100/iterations:100",100,21.9,16.6,ns,,,,,
"accumulate_good_data/200/iterations:100",100,16.4,15.9,ns,,,,,
"accumulate_good_data/300/iterations:100",100,21.4999,21.2,ns,,,,,
"accumulate_good_data/400/iterations:100",100,27.2,26.9,ns,,,,,
"accumulate_good_data/500/iterations:100",100,32,31.9,ns,,,,,
"accumulate_good_data/600/iterations:100",100,41.4,41.2,ns,,,,,
"accumulate_good_data/700/iterations:100",100,48,47.7,ns,,,,,
"accumulate_good_data/800/iterations:100",100,53.9,53.7,ns,,,,,
"accumulate_good_data/900/iterations:100",100,57.9,57.7,ns,,,,,
"accumulate_good_data/1000/iterations:100",100,64.2,64,ns,,,,,
"accumulate_good_data/1100/iterations:100",100,69.7,69.5,ns,,,,,
"accumulate_good_data/1200/iterations:100",100,76,75.8,ns,,,,,
"accumulate_good_data/1300/iterations:100",100,80.9,80.6,ns,,,,,
"accumulate_good_data/1400/iterations:100",100,86.99,86.7,ns,,,,,
"accumulate_good_data/1500/iterations:100",100,92.1,91.91,ns,,,,,
"accumulate_good_data/1600/iterations:100",100,98.7,98.5,ns,,,,,
"accumulate_good_data/1700/iterations:100",100,103.3,103,ns,,,,,
"accumulate_good_data/1800/iterations:100",100,110.3,110.1,ns,,,,,
"accumulate_good_data/1900/iterations:100",100,116.1,116,ns,,,,,
"accumulate_good_data/2000/iterations:100",100,120.8,120.51,ns,,,,,
"accumulate_good_data/2100/iterations:100",100,125.7,125.3,ns,,,,,
"accumulate_good_data/2200/iterations:100",100,132.4,132.1,ns,,,,,
"accumulate_good_data/2300/iterations:100",100,137.8,137.6,ns,,,,,
"accumulate_good_data/2400/iterations:100",100,142.6,142.3,ns,,,,,
"accumulate_good_data/2500/iterations:100",100,149.19,149,ns,,,,,
"accumulate_good_data/2600/iterations:100",100,155.3,155.11,ns,,,,,
"accumulate_good_data/2700/iterations:100",100,172.29,163,ns,,,,,
"accumulate_good_data/2800/iterations:100",100,165.69,165.5,ns,,,,,
"accumulate_good_data/2900/iterations:100",100,171,170.6,ns,,,,,
"accumulate_good_data/3000/iterations:100",100,177.1,177,ns,,,,,
"accumulate_good_data/3100/iterations:100",100,182.9,182.7,ns,,,,,
"accumulate_good_data/3200/iterations:100",100,189.79,189.6,ns,,,,,
"accumulate_good_data/3300/iterations:100",100,193.89,193.9,ns,,,,,
"accumulate_good_data/3400/iterations:100",100,209.2,202.8,ns,,,,,
"accumulate_good_data/3500/iterations:100",100,205.4,205.2,ns,,,,,
"accumulate_good_data/3600/iterations:100",100,211.5,211.4,ns,,,,,
"accumulate_good_data/3700/iterations:100",100,215.7,215.61,ns,,,,,
"accumulate_good_data/3800/iterations:100",100,222.2,222.2,ns,,,,,
"accumulate_good_data/3900/iterations:100",100,228.4,228.3,ns,,,,,
"accumulate_good_data/4000/iterations:100",100,237.3,237.2,ns,,,,,
"accumulate_good_data/4100/iterations:100",100,240.7,240.6,ns,,,,,
"accumulate_good_data/4200/iterations:100",100,255.4,255.21,ns,,,,,
"accumulate_good_data/4300/iterations:100",100,266,265.8,ns,,,,,
"accumulate_good_data/4400/iterations:100",100,277.5,277.3,ns,,,,,
"accumulate_good_data/4500/iterations:100",100,286.1,286,ns,,,,,
"accumulate_good_data/4600/iterations:100",100,294.8,294.6,ns,,,,,
"accumulate_good_data/4700/iterations:100",100,300.4,300.2,ns,,,,,
"accumulate_good_data/4800/iterations:100",100,306.89,306.91,ns,,,,,
"accumulate_good_data/4900/iterations:100",100,312.79,312.7,ns,,,,,
"accumulate_good_data/5000/iterations:100",100,319.39,319.3,ns,,,,,
"accumulate_good_data/5100/iterations:100",100,325,324.9,ns,,,,,
"accumulate_good_data/5200/iterations:100",100,331.5,331.2,ns,,,,,
"accumulate_good_data/5300/iterations:100",100,336.89,336.91,ns,,,,,
"accumulate_good_data/5400/iterations:100",100,343.89,343.8,ns,,,,,
"accumulate_good_data/5500/iterations:100",100,349.69,349.4,ns,,,,,
"accumulate_good_data/5600/iterations:100",100,356.49,356.31,ns,,,,,
"accumulate_good_data/5700/iterations:100",100,361.6,361.5,ns,,,,,
"accumulate_good_data/5800/iterations:100",100,368.69,368.5,ns,,,,,
"accumulate_good_data/5900/iterations:100",100,374.59,374.4,ns,,,,,
"accumulate_good_data/6000/iterations:100",100,381.2,381.1,ns,,,,,
"accumulate_good_data/6100/iterations:100",100,386.69,386.51,ns,,,,,
"accumulate_good_data/6200/iterations:100",100,392.99,392.91,ns,,,,,
"accumulate_good_data/6300/iterations:100",100,398.6,398.41,ns,,,,,
"accumulate_good_data/6400/iterations:100",100,405.59,405.51,ns,,,,,
"accumulate_good_data/6500/iterations:100",100,411.59,411.61,ns,,,,,
"accumulate_good_data/6600/iterations:100",100,418.19,418.11,ns,,,,,
"accumulate_good_data/6700/iterations:100",100,423.89,423.8,ns,,,,,
"accumulate_good_data/6800/iterations:100",100,430.59,430.41,ns,,,,,
"accumulate_good_data/6900/iterations:100",100,436.29,436.2,ns,,,,,
"accumulate_good_data/7000/iterations:100",100,442.99,442.9,ns,,,,,
"accumulate_good_data/7100/iterations:100",100,448.39,448.2,ns,,,,,
"accumulate_good_data/7200/iterations:100",100,455.99,455.91,ns,,,,,
"accumulate_good_data/7300/iterations:100",100,460.79,460.6,ns,,,,,
"accumulate_good_data/7400/iterations:100",100,467.59,467.6,ns,,,,,
"accumulate_good_data/7500/iterations:100",100,473.19,473.1,ns,,,,,
"accumulate_good_data/7600/iterations:100",100,479.89,479.7,ns,,,,,
"accumulate_good_data/7700/iterations:100",100,485.39,485.2,ns,,,,,
"accumulate_good_data/7800/iterations:100",100,491.89,491.7,ns,,,,,
"accumulate_good_data/7900/iterations:100",100,497.89,497.8,ns,,,,,
"accumulate_good_data/8000/iterations:100",100,505.2,505.1,ns,,,,,
"accumulate_good_data/8100/iterations:100",100,510.3,510.11,ns,,,,,
"accumulate_good_data/8200/iterations:100",100,516.69,516.5,ns,,,,,
"accumulate_good_data/8300/iterations:100",100,522.49,522.3,ns,,,,,
"accumulate_good_data/8400/iterations:100",100,528.89,528.8,ns,,,,,
"accumulate_good_data/8500/iterations:100",100,534.49,534.4,ns,,,,,
"accumulate_good_data/8600/iterations:100",100,541.5,541.2,ns,,,,,
"accumulate_good_data/8700/iterations:100",100,547.29,547.11,ns,,,,,
"accumulate_good_data/8800/iterations:100",100,553.7,553.5,ns,,,,,
"accumulate_good_data/8900/iterations:100",100,559.39,559.3,ns,,,,,
"accumulate_good_data/9000/iterations:100",100,565.79,565.6,ns,,,,,
"accumulate_good_data/9100/iterations:100",100,571.49,571.31,ns,,,,,
"accumulate_good_data/9200/iterations:100",100,578.29,578.2,ns,,,,,
"accumulate_good_data/9300/iterations:100",100,584.09,583.9,ns,,,,,
"accumulate_good_data/9400/iterations:100",100,591.09,591,ns,,,,,
"accumulate_good_data/9500/iterations:100",100,596.49,596.41,ns,,,,,
"accumulate_good_data/9600/iterations:100",100,602.79,602.6,ns,,,,,
"accumulate_good_data/9700/iterations:100",100,609.09,609,ns,,,,,
"accumulate_good_data/9800/iterations:100",100,615.59,615.5,ns,,,,,
"accumulate_good_data/9900/iterations:100",100,620.89,620.71,ns,,,,,
"accumulate_good_data/10000/iterations:100",100,627.79,627.8,ns,,,,,
"accumulate_good_data/10100/iterations:100",100,633.39,633.3,ns,,,,,
"accumulate_good_data/10200/iterations:100",100,640.39,640.3,ns,,,,,
"accumulate_good_data/10300/iterations:100",100,645.49,645.4,ns,,,,,
"accumulate_good_data/10400/iterations:100",100,652.29,652.21,ns,,,,,
"accumulate_good_data/10500/iterations:100",100,658.08,658.1,ns,,,,,
"accumulate_good_data/10600/iterations:100",100,664.69,664.71,ns,,,,,
"accumulate_good_data/10700/iterations:100",100,670.79,670.6,ns,,,,,
"accumulate_good_data/10800/iterations:100",100,677.09,676.8,ns,,,,,
"accumulate_good_data/10900/iterations:100",100,682.99,683,ns,,,,,
"accumulate_good_data/11000/iterations:100",100,689.69,689.7,ns,,,,,
"accumulate_good_data/11100/iterations:100",100,695.19,695.01,ns,,,,,
"accumulate_good_data/11200/iterations:100",100,702.09,701.9,ns,,,,,
"accumulate_good_data/11300/iterations:100",100,707.78,707.71,ns,,,,,
"accumulate_good_data/11400/iterations:100",100,713.79,713.7,ns,,,,,
"accumulate_good_data/11500/iterations:100",100,719.79,719.61,ns,,,,,
"accumulate_good_data/11600/iterations:100",100,726.58,726.4,ns,,,,,
"accumulate_good_data/11700/iterations:100",100,732.19,732,ns,,,,,
"accumulate_good_data/11800/iterations:100",100,739.28,739.11,ns,,,,,
"accumulate_good_data/11900/iterations:100",100,744.58,744.6,ns,,,,,
"accumulate_good_data/12000/iterations:100",100,751.39,751.31,ns,,,,,
"accumulate_good_data/12100/iterations:100",100,756.69,756.5,ns,,,,,
"accumulate_good_data/12200/iterations:100",100,763.49,763.5,ns,,,,,
"accumulate_good_data/12300/iterations:100",100,768.89,768.6,ns,,,,,
"accumulate_good_data/12400/iterations:100",100,775.78,775.6,ns,,,,,
"accumulate_good_data/12500/iterations:100",100,782.28,782.2,ns,,,,,
"accumulate_good_data/12600/iterations:100",100,788.18,788,ns,,,,,
"accumulate_good_data/12700/iterations:100",100,794.09,794.01,ns,,,,,
"accumulate_good_data/12800/iterations:100",100,800.19,800.1,ns,,,,,
"accumulate_good_data/12900/iterations:100",100,806.19,806.1,ns,,,,,
"accumulate_good_data/13000/iterations:100",100,812.78,812.8,ns,,,,,
"accumulate_good_data/13100/iterations:100",100,819.19,819.01,ns,,,,,
"accumulate_good_data/13200/iterations:100",100,825.59,825.61,ns,,,,,
"accumulate_good_data/13300/iterations:100",100,830.59,830.4,ns,,,,,
"accumulate_good_data/13400/iterations:100",100,837.79,837.7,ns,,,,,
"accumulate_good_data/13500/iterations:100",100,843.49,843.41,ns,,,,,
"accumulate_good_data/13600/iterations:100",100,849.59,849.41,ns,,,,,
"accumulate_good_data/13700/iterations:100",100,855.99,856,ns,,,,,
"accumulate_good_data/13800/iterations:100",100,861.79,861.7,ns,,,,,
"accumulate_good_data/13900/iterations:100",100,867.78,867.8,ns,,,,,
"accumulate_good_data/14000/iterations:100",100,874.39,874.4,ns,,,,,
"accumulate_good_data/14100/iterations:100",100,880.28,880.01,ns,,,,,
"accumulate_good_data/14200/iterations:100",100,900.09,891.81,ns,,,,,
"accumulate_good_data/14300/iterations:100",100,892.48,892.5,ns,,,,,
"accumulate_good_data/14400/iterations:100",100,898.69,898.6,ns,,,,,
"accumulate_good_data/14500/iterations:100",100,904.98,904.9,ns,,,,,
"accumulate_good_data/14600/iterations:100",100,911.58,911.41,ns,,,,,
"accumulate_good_data/14700/iterations:100",100,932.18,921.7,ns,,,,,
"accumulate_good_data/14800/iterations:100",100,923.88,923.6,ns,,,,,
"accumulate_good_data/14900/iterations:100",100,929.79,929.71,ns,,,,,
"accumulate_good_data/15000/iterations:100",100,935.98,936.1,ns,,,,,
"accumulate_good_data/15100/iterations:100",100,942.78,942.8,ns,,,,,
"accumulate_good_data/15200/iterations:100",100,948.39,948.51,ns,,,,,
"accumulate_good_data/15300/iterations:100",100,954.39,954.4,ns,,,,,
"accumulate_good_data/15400/iterations:100",100,960.79,960.71,ns,,,,,
"accumulate_good_data/15500/iterations:100",100,966.88,966.7,ns,,,,,
"accumulate_good_data/15600/iterations:100",100,973.18,973.01,ns,,,,,
"accumulate_good_data/15700/iterations:100",100,979.18,979.11,ns,,,,,
"accumulate_good_data/15800/iterations:100",100,985.08,985,ns,,,,,
"accumulate_good_data/15900/iterations:100",100,990.89,990.71,ns,,,,,
"accumulate_good_data/16000/iterations:100",100,997.59,997.4,ns,,,,,
"accumulate_good_data/16100/iterations:100",100,1004.09,1004,ns,,,,,
"accumulate_good_data/16200/iterations:100",100,1010.59,1010.51,ns,,,,,
"accumulate_good_data/16300/iterations:100",100,1015.78,1015.7,ns,,,,,
"accumulate_good_data/16400/iterations:100",100,1036.28,1027.5,ns,,,,,
"accumulate_good_data/16500/iterations:100",100,1028.28,1028.21,ns,,,,,
"accumulate_good_data/16600/iterations:100",100,1035.38,1035.2,ns,,,,,
"accumulate_good_data/16700/iterations:100",100,1040.88,1040.6,ns,,,,,
"accumulate_good_data/16800/iterations:100",100,1047.08,1046.91,ns,,,,,
"accumulate_good_data/16900/iterations:100",100,1052.78,1052.6,ns,,,,,
"accumulate_good_data/17000/iterations:100",100,1059.98,1059.81,ns,,,,,
"accumulate_good_data/17100/iterations:100",100,1065.69,1065.51,ns,,,,,
"accumulate_good_data/17200/iterations:100",100,1071.78,1071.6,ns,,,,,
"accumulate_good_data/17300/iterations:100",100,1077.68,1077.61,ns,,,,,
"accumulate_good_data/17400/iterations:100",100,1084.18,1084.2,ns,,,,,
"accumulate_good_data/17500/iterations:100",100,1090.18,1090.1,ns,,,,,
"accumulate_good_data/17600/iterations:100",100,1096.48,1096.31,ns,,,,,
"accumulate_good_data/17700/iterations:100",100,1101.68,1101.5,ns,,,,,
"accumulate_good_data/17800/iterations:100",100,1108.98,1108.71,ns,,,,,
"accumulate_good_data/17900/iterations:100",100,1114.58,1114.41,ns,,,,,
"accumulate_good_data/18000/iterations:100",100,1121.58,1121.5,ns,,,,,
"accumulate_good_data/18100/iterations:100",100,1126.98,1126.91,ns,,,,,
"accumulate_good_data/18200/iterations:100",100,1133.58,1133.4,ns,,,,,
"accumulate_good_data/18300/iterations:100",100,1139.18,1139.01,ns,,,,,
"accumulate_good_data/18400/iterations:100",100,1145.78,1145.7,ns,,,,,
"accumulate_good_data/18500/iterations:100",100,1151.88,1151.71,ns,,,,,
"accumulate_good_data/18600/iterations:100",100,1158.08,1158,ns,,,,,
"accumulate_good_data/18700/iterations:100",100,1163.98,1163.91,ns,,,,,
"accumulate_good_data/18800/iterations:100",100,1170.58,1170.3,ns,,,,,
"accumulate_good_data/18900/iterations:100",100,1176.28,1176.21,ns,,,,,
"accumulate_good_data/19000/iterations:100",100,1182.98,1182.8,ns,,,,,
"accumulate_good_data/19100/iterations:100",100,1188.48,1188.4,ns,,,,,
"accumulate_good_data/19200/iterations:100",100,1195.98,1195.91,ns,,,,,
"accumulate_good_data/19300/iterations:100",100,1214.58,1206,ns,,,,,
"accumulate_good_data/19400/iterations:100",100,1207.88,1207.71,ns,,,,,
"accumulate_good_data/19500/iterations:100",100,1213.18,1213.11,ns,,,,,
"accumulate_good_data/19600/iterations:100",100,1220.28,1220.1,ns,,,,,
"accumulate_good_data/19700/iterations:100",100,1225.68,1225.6,ns,,,,,
"accumulate_good_data/19800/iterations:100",100,1232.58,1232.41,ns,,,,,
"accumulate_good_data/19900/iterations:100",100,1237.98,1237.81,ns,,,,,
"accumulate_good_data/20000/iterations:100",100,1259.38,1249.7,ns,,,,,
"accumulate_good_data/20100/iterations:100",100,1250.08,1249.9,ns,,,,,
"accumulate_good_data/20200/iterations:100",100,1257.17,1257.11,ns,,,,,
"accumulate_good_data/20300/iterations:100",100,1262.78,1262.61,ns,,,,,
"accumulate_good_data/20400/iterations:100",100,1269.38,1269.21,ns,,,,,
"accumulate_good_data/20500/iterations:100",100,1275.17,1275.1,ns,,,,,
"accumulate_good_data/20600/iterations:100",100,1281.58,1281.5,ns,,,,,
"accumulate_good_data/20700/iterations:100",100,1288.28,1288.31,ns,,,,,
"accumulate_good_data/20800/iterations:100",100,1293.88,1293.81,ns,,,,,
"accumulate_good_data/20900/iterations:100",100,1299.68,1299.51,ns,,,,,
"accumulate_good_data/21000/iterations:100",100,1306.47,1306.4,ns,,,,,
"accumulate_good_data/21100/iterations:100",100,1312.27,1312.1,ns,,,,,
"accumulate_good_data/21200/iterations:100",100,1319.18,1319,ns,,,,,
