name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"for_each_good_data/100/iterations:100",100,183.6,175.3,ns,,,,,
"for_each_good_data/200/iterations:100",100,165.1,163.6,ns,,,,,
"for_each_good_data/300/iterations:100",100,163.69,164.1,ns,,,,,
"for_each_good_data/400/iterations:100",100,162.6,162.5,ns,,,,,
"for_each_good_data/500/iterations:100",100,163.9,163.7,ns,,,,,
"for_each_good_data/600/iterations:100",100,162.5,162.8,ns,,,,,
"for_each_good_data/700/iterations:100",100,163.1,161.4,ns,,,,,
"for_each_good_data/800/iterations:100",100,163.001,163.2,ns,,,,,
"for_each_good_data/900/iterations:100",100,163.2,164.6,ns,,,,,
"for_each_good_data/1000/iterations:100",100,164.5,161.9,ns,,,,,
"for_each_good_data/1100/iterations:100",100,165.7,165.2,ns,,,,,
"for_each_good_data/1200/iterations:100",100,165.29,164.4,ns,,,,,
"for_each_good_data/1300/iterations:100",100,169.29,166,ns,,,,,
"for_each_good_data/1400/iterations:100",100,173.399,168.6,ns,,,,,
"for_each_good_data/1500/iterations:100",100,177.3,172.1,ns,,,,,
"for_each_good_data/1600/iterations:100",100,182.2,174.2,ns,,,,,
"for_each_good_data/1700/iterations:100",100,186.8,176.9,ns,,,,,
"for_each_good_data/1800/iterations:100",100,196.89,185.6,ns,,,,,
"for_each_good_data/1900/iterations:100",100,197.79,184,ns,,,,,
"for_each_good_data/2000/iterations:100",100,196.5,181.5,ns,,,,,
"for_each_good_data/2100/iterations:100",100,194.89,182.3,ns,,,,,
"for_each_good_data/2200/iterations:100",100,197.2,182.9,ns,,,,,
"for_each_good_data/2300/iterations:100",100,197.3,183.3,ns,,,,,
"for_each_good_data/2400/iterations:100",100,197.49,181.8,ns,,,,,
"for_each_good_data/2500/iterations:100",100,197.09,182.7,ns,,,,,
"for_each_good_data/2600/iterations:100",100,195.9,181.11,ns,,,,,
"for_each_good_data/2700/iterations:100",100,196.5,182.2,ns,,,,,
"for_each_good_data/2800/iterations:100",100,197.39,182.7,ns,,,,,
"for_each_good_data/2900/iterations:100",100,196.49,182,ns,,,,,
"for_each_good_data/3000/iterations:100",100,197.6,182.7,ns,,,,,
"for_each_good_data/3100/iterations:100",100,197.399,181.9,ns,,,,,
"for_each_good_data/3200/iterations:100",100,197.89,182.3,ns,,,,,
"for_each_good_data/3300/iterations:100",100,196.99,182.8,ns,,,,,
"for_each_good_data/3400/iterations:100",100,197.2,183.1,ns,,,,,
"for_each_good_data/3500/iterations:100",100,196.9,181.5,ns,,,,,
"for_each_good_data/3600/iterations:100",100,196.69,181.5,ns,,,,,
"for_each_good_data/3700/iterations:100",100,197.79,182.2,ns,,,,,
"for_each_good_data/3800/iterations:100",100,195.4,180.7,ns,,,,,
"for_each_good_data/3900/iterations:100",100,197.3,182.9,ns,,,,,
"for_each_good_data/4000/iterations:100",100,198.5,182.9,ns,,,,,
"for_each_good_data/4100/iterations:100",100,197.6,183.1,ns,,,,,
"for_each_good_data/4200/iterations:100",100,197.9,181.6,ns,,,,,
"for_each_good_data/4300/iterations:100",100,198.19,184.8,ns,,,,,
"for_each_good_data/4400/iterations:100",100,198.2,182.4,ns,,,,,
"for_each_good_data/4500/iterations:100",100,198.4,182.5,ns,,,,,
"for_each_good_data/4600/iterations:100",100,198.68,182,ns,,,,,
"for_each_good_data/4700/iterations:100",100,197.69,183.1,ns,,,,,
"for_each_good_data/4800/iterations:100",100,197.9,182.61,ns,,,,,
"for_each_good_data/4900/iterations:100",100,198,183.8,ns,,,,,
"for_each_good_data/5000/iterations:100",100,198.1,183.2,ns,,,,,
"for_each_good_data/5100/iterations:100",100,197.9,182.5,ns,,,,,
"for_each_good_data/5200/iterations:100",100,196.9,181.2,ns,,,,,
"for_each_good_data/5300/iterations:100",100,198,183.2,ns,,,,,
"for_each_good_data/5400/iterations:100",100,197,181.3,ns,,,,,
"for_each_good_data/5500/iterations:100",100,194.889,180.6,ns,,,,,
"for_each_good_data/5600/iterations:100",100,197.8,182.4,ns,,,,,
"for_each_good_data/5700/iterations:100",100,197.6,182.2,ns,,,,,
"for_each_good_data/5800/iterations:100",100,196.79,181.6,ns,,,,,
"for_each_good_data/5900/iterations:100",100,198.19,182.11,ns,,,,,
"for_each_good_data/6000/iterations:100",100,196.7,181.7,ns,,,,,
