name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"accumulate_good_data/100/iterations:100",100,89.15,34.32,ns,,,,,
"accumulate_good_data/200/iterations:100",100,36.5998,32.42,ns,,,,,
"accumulate_good_data/300/iterations:100",100,46.56,45.02,ns,,,,,
"accumulate_good_data/400/iterations:100",100,58.4201,57.11,ns,,,,,
"accumulate_good_data/500/iterations:100",100,65.85,64.61,ns,,,,,
"accumulate_good_data/600/iterations:100",100,78.3202,77.11,ns,,,,,
"accumulate_good_data/700/iterations:100",100,84.6499,83.47,ns,,,,,
"accumulate_good_data/800/iterations:100",100,96.26,94.75,ns,,,,,
"accumulate_good_data/900/iterations:100",100,103.64,102.44,ns,,,,,
"accumulate_good_data/1000/iterations:100",100,115.3,113.89,ns,,,,,
"accumulate_good_data/1100/iterations:100",100,123.52,122.02,ns,,,,,
"accumulate_good_data/1200/iterations:100",100,135.94,134.59,ns,,,,,
"accumulate_good_data/1300/iterations:100",100,141.49,140.28,ns,,,,,
"accumulate_good_data/1400/iterations:100",100,153.8,152.3,ns,,,,,
"accumulate_good_data/1500/iterations:100",100,161.48,160.18,ns,,,,,
"accumulate_good_data/1600/iterations:100",100,172.84,171.69,ns,,,,,
"accumulate_good_data/1700/iterations:100",100,180.51,179.28,ns,,,,,
"accumulate_good_data/1800/iterations:100",100,192.08,190.85,ns,,,,,
"accumulate_good_data/1900/iterations:100",100,200.15,198.7,ns,,,,,
"accumulate_good_data/2000/iterations:100",100,211.21,209.85,ns,,,,,
"accumulate_good_data/2100/iterations:100",100,218.84,217.58,ns,,,,,
"accumulate_good_data/2200/iterations:100",100,230.4,229.02,ns,,,,,
"accumulate_good_data/2300/iterations:100",100,238.2,237.09,ns,,,,,
"accumulate_good_data/2400/iterations:100",100,250.24,248.77,ns,,,,,
"accumulate_good_data/2500/iterations:100",100,257.64,256.04,ns,,,,,
"accumulate_good_data/2600/iterations:100",100,268.75,267.62,ns,,,,,
"accumulate_good_data/2700/iterations:100",100,277.06,275.54,ns,,,,,
"accumulate_good_data/2800/iterations:100",100,288.55,286.88,ns,,,,,
"accumulate_good_data/2900/iterations:100",100,296.27,294.76,ns,,,,,
"accumulate_good_data/3000/iterations:100",100,308.87,306.6,ns,,,,,
"accumulate_good_data/3100/iterations:100",100,315.5,313.85,ns,,,,,
"accumulate_good_data/3200/iterations:100",100,328.49,327.08,ns,,,,,
