name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"for_each_good_data/100/iterations:100",100,529.412,515.47,ns,,,,,
"for_each_good_data/200/iterations:100",100,493.018,490.17,ns,,,,,
"for_each_good_data/300/iterations:100",100,493.659,492.22,ns,,,,,
"for_each_good_data/400/iterations:100",100,493.391,491.78,ns,,,,,
"for_each_good_data/500/iterations:100",100,491.34,490.7,ns,,,,,
"for_each_good_data/600/iterations:100",100,493.17,492.32,ns,,,,,
"for_each_good_data/700/iterations:100",100,496.871,495.01,ns,,,,,
"for_each_good_data/800/iterations:100",100,496.669,494.66,ns,,,,,
"for_each_good_data/900/iterations:100",100,496.831,493.96,ns,,,,,
"for_each_good_data/1000/iterations:100",100,495.58,493.31,ns,,,,,
"for_each_good_data/1100/iterations:100",100,498.17,493.95,ns,,,,,
"for_each_good_data/1200/iterations:100",100,499.968,497.07,ns,,,,,
"for_each_good_data/1300/iterations:100",100,500.509,495.48,ns,,,,,
"for_each_good_data/1400/iterations:100",100,514.118,500.62,ns,,,,,
"for_each_good_data/1500/iterations:100",100,515.869,501.32,ns,,,,,
"for_each_good_data/1600/iterations:100",100,518.562,502.51,ns,,,,,
"for_each_good_data/1700/iterations:100",100,531.7,506.57,ns,,,,,
"for_each_good_data/1800/iterations:100",100,534.531,507.37,ns,,,,,
"for_each_good_data/1900/iterations:100",100,534.419,510.14,ns,,,,,
"for_each_good_data/2000/iterations:100",100,538.288,511.71,ns,,,,,
"for_each_good_data/2100/iterations:100",100,540.299,511.87,ns,,,,,
"for_each_good_data/2200/iterations:100",100,539.513,510.14,ns,,,,,
"for_each_good_data/2300/iterations:100",100,544.712,511.87,ns,,,,,
"for_each_good_data/2400/iterations:100",100,544.71,514.63,ns,,,,,
"for_each_good_data/2500/iterations:100",100,540.78,512.74,ns,,,,,
"for_each_good_data/2600/iterations:100",100,542.9,512.81,ns,,,,,
"for_each_good_data/2700/iterations:100",100,543.049,514.35,ns,,,,,
"for_each_good_data/2800/iterations:100",100,546,510.74,ns,,,,,
"for_each_good_data/2900/iterations:100",100,548.01,513.11,ns,,,,,
"for_each_good_data/3000/iterations:100",100,542.182,513.13,ns,,,,,
"for_each_good_data/3100/iterations:100",100,540.83,513.97,ns,,,,,
"for_each_good_data/3200/iterations:100",100,544.699,515.6,ns,,,,,
"for_each_good_data/3300/iterations:100",100,544.53,512.55,ns,,,,,
"for_each_good_data/3400/iterations:100",100,547.39,513.56,ns,,,,,
"for_each_good_data/3500/iterations:100",100,544.93,516.9,ns,,,,,
"for_each_good_data/3600/iterations:100",100,536.239,508.57,ns,,,,,
"for_each_good_data/3700/iterations:100",100,545.431,515.76,ns,,,,,
"for_each_good_data/3800/iterations:100",100,544.152,510.73,ns,,,,,
"for_each_good_data/3900/iterations:100",100,546.068,513.12,ns,,,,,
"for_each_good_data/4000/iterations:100",100,544.05,516.83,ns,,,,,
"for_each_good_data/4100/iterations:100",100,539.799,510.39,ns,,,,,
"for_each_good_data/4200/iterations:100",100,547.57,517.95,ns,,,,,
