name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"generate_good_data/100/iterations:100",100,5756.76,5744.59,ns,,,,,
"generate_good_data/200/iterations:100",100,10130.9,10129.2,ns,,,,,
"generate_good_data/300/iterations:100",100,14600.7,14599.6,ns,,,,,
"generate_good_data/400/iterations:100",100,19058.9,19058.5,ns,,,,,
"generate_good_data/500/iterations:100",100,23472,23471.6,ns,,,,,
"generate_good_data/600/iterations:100",100,27922.8,27922.3,ns,,,,,
"generate_good_data/700/iterations:100",100,32382.8,32382.4,ns,,,,,
"generate_good_data/800/iterations:100",100,36850.8,36850.6,ns,,,,,
"generate_good_data/900/iterations:100",100,41264,41263.7,ns,,,,,
"generate_good_data/1000/iterations:100",100,45736,45735.9,ns,,,,,
"generate_good_data/1100/iterations:100",100,50188.6,50188.7,ns,,,,,
"generate_good_data/1200/iterations:100",100,54618.3,54618.3,ns,,,,,
"generate_good_data/1300/iterations:100",100,59112.6,59112.9,ns,,,,,
"generate_good_data/1400/iterations:100",100,63516.7,63516.9,ns,,,,,
"generate_good_data/1500/iterations:100",100,67987.6,67987.9,ns,,,,,
"generate_good_data/1600/iterations:100",100,72876.8,72878.1,ns,,,,,
"generate_good_data/1700/iterations:100",100,76931.7,76932,ns,,,,,
"generate_good_data/1800/iterations:100",100,81402.7,81403.3,ns,,,,,
"generate_good_data/1900/iterations:100",100,85809.5,85810,ns,,,,,
"generate_good_data/2000/iterations:100",100,90277.3,90277.8,ns,,,,,
"generate_good_data/2100/iterations:100",100,94748,94748.4,ns,,,,,
"generate_good_data/2200/iterations:100",100,99212.4,99213.1,ns,,,,,
"generate_good_data/2300/iterations:100",100,103689,103690,ns,,,,,
"generate_good_data/2400/iterations:100",100,108413,108414,ns,,,,,
"generate_good_data/2500/iterations:100",100,112695,112696,ns,,,,,
"generate_good_data/2600/iterations:100",100,117193,117194,ns,,,,,
"generate_good_data/2700/iterations:100",100,121678,121679,ns,,,,,
"generate_good_data/2800/iterations:100",100,126175,126176,ns,,,,,
"generate_good_data/2900/iterations:100",100,130590,130591,ns,,,,,
"generate_good_data/3000/iterations:100",100,135081,135082,ns,,,,,
"generate_good_data/3100/iterations:100",100,140631,140633,ns,,,,,
"generate_good_data/3200/iterations:100",100,144114,144075,ns,,,,,
"generate_good_data/3300/iterations:100",100,149015,149018,ns,,,,,
"generate_good_data/3400/iterations:100",100,152930,152931,ns,,,,,
"generate_good_data/3500/iterations:100",100,157418,157420,ns,,,,,
"generate_good_data/3600/iterations:100",100,161939,161941,ns,,,,,
"generate_good_data/3700/iterations:100",100,166512,166514,ns,,,,,
"generate_good_data/3800/iterations:100",100,171198,171201,ns,,,,,
"generate_good_data/3900/iterations:100",100,176088,176090,ns,,,,,
"generate_good_data/4000/iterations:100",100,180313,180315,ns,,,,,
"generate_good_data/4100/iterations:100",100,185041,185044,ns,,,,,
"generate_good_data/4200/iterations:100",100,189747,189750,ns,,,,,
"generate_good_data/4300/iterations:100",100,194589,194591,ns,,,,,
"generate_good_data/4400/iterations:100",100,199363,199366,ns,,,,,
"generate_good_data/4500/iterations:100",100,204096,204099,ns,,,,,
"generate_good_data/4600/iterations:100",100,208831,208834,ns,,,,,
"generate_good_data/4700/iterations:100",100,213352,213355,ns,,,,,
"generate_good_data/4800/iterations:100",100,217853,217856,ns,,,,,
"generate_good_data/4900/iterations:100",100,222394,222397,ns,,,,,
"generate_good_data/5000/iterations:100",100,227065,227069,ns,,,,,
"generate_good_data/5100/iterations:100",100,231391,231394,ns,,,,,
"generate_good_data/5200/iterations:100",100,235906,235910,ns,,,,,
"generate_good_data/5300/iterations:100",100,240415,240418,ns,,,,,
"generate_good_data/5400/iterations:100",100,244963,244967,ns,,,,,
"generate_good_data/5500/iterations:100",100,249461,249465,ns,,,,,
"generate_good_data/5600/iterations:100",100,253947,253951,ns,,,,,
"generate_good_data/5700/iterations:100",100,258457,258460,ns,,,,,
"generate_good_data/5800/iterations:100",100,262986,262990,ns,,,,,
"generate_good_data/5900/iterations:100",100,267573,267577,ns,,,,,
"generate_good_data/6000/iterations:100",100,272010,272014,ns,,,,,
"generate_good_data/6100/iterations:100",100,276535,276539,ns,,,,,
"generate_good_data/6200/iterations:100",100,281019,281023,ns,,,,,
"generate_good_data/6300/iterations:100",100,285555,285559,ns,,,,,
"generate_good_data/6400/iterations:100",100,290071,290074,ns,,,,,
"generate_good_data/6500/iterations:100",100,295856,295787,ns,,,,,
"generate_good_data/6600/iterations:100",100,299094,299098,ns,,,,,
"generate_good_data/6700/iterations:100",100,303615,303620,ns,,,,,
"generate_good_data/6800/iterations:100",100,308320,308324,ns,,,,,
"generate_good_data/6900/iterations:100",100,312655,312659,ns,,,,,
"generate_good_data/7000/iterations:100",100,317154,317159,ns,,,,,
"generate_good_data/7100/iterations:100",100,321653,321657,ns,,,,,
"generate_good_data/7200/iterations:100",100,326368,326373,ns,,,,,
"generate_good_data/7300/iterations:100",100,330684,330688,ns,,,,,
"generate_good_data/7400/iterations:100",100,335203,335208,ns,,,,,
"generate_good_data/7500/iterations:100",100,339893,339898,ns,,,,,
"generate_good_data/7600/iterations:100",100,344262,344269,ns,,,,,
"generate_good_data/7700/iterations:100",100,348740,348745,ns,,,,,
"generate_good_data/7800/iterations:100",100,353369,353315,ns,,,,,
"generate_good_data/7900/iterations:100",100,357796,357801,ns,,,,,
"generate_good_data/8000/iterations:100",100,362289,362294,ns,,,,,
"generate_good_data/8100/iterations:100",100,366802,366807,ns,,,,,
"generate_good_data/8200/iterations:100",100,371677,371683,ns,,,,,
"generate_good_data/8300/iterations:100",100,375826,375831,ns,,,,,
