name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"sort_good_data/100/iterations:100",100,1324.36,1312.27,ns,,,,,
"sort_good_data/200/iterations:100",100,2354.81,2353.46,ns,,,,,
"sort_good_data/300/iterations:100",100,3507.06,3505.69,ns,,,,,
"sort_good_data/400/iterations:100",100,5087.25,5087.24,ns,,,,,
"sort_good_data/500/iterations:100",100,8057.94,8058.11,ns,,,,,
"sort_good_data/600/iterations:100",100,10905.3,10905.1,ns,,,,,
"sort_good_data/700/iterations:100",100,14082.9,14083.4,ns,,,,,
"sort_good_data/800/iterations:100",100,17490.4,17492.8,ns,,,,,
"sort_good_data/900/iterations:100",100,21193.6,21192.5,ns,,,,,
"sort_good_data/1000/iterations:100",100,26408.7,26409.3,ns,,,,,
"sort_good_data/1100/iterations:100",100,30330.3,30330.8,ns,,,,,
"sort_good_data/1200/iterations:100",100,34529.4,34530.4,ns,,,,,
"sort_good_data/1300/iterations:100",100,38513.2,38513.7,ns,,,,,
"sort_good_data/1400/iterations:100",100,42960.1,42948.8,ns,,,,,
"sort_good_data/1500/iterations:100",100,46474,46463.1,ns,,,,,
"sort_good_data/1600/iterations:100",100,49917.7,49902.4,ns,,,,,
"sort_good_data/1700/iterations:100",100,54527,54504.6,ns,,,,,
"sort_good_data/1800/iterations:100",100,59914.5,59894.4,ns,,,,,
"sort_good_data/1900/iterations:100",100,63569.8,63546.7,ns,,,,,
"sort_good_data/2000/iterations:100",100,68355.7,68328.5,ns,,,,,
"sort_good_data/2100/iterations:100",100,70907.4,70882.1,ns,,,,,
"sort_good_data/2200/iterations:100",100,77231.3,77210.5,ns,,,,,
"sort_good_data/2300/iterations:100",100,80221.5,80195.7,ns,,,,,
"sort_good_data/2400/iterations:100",100,85115.7,85093.4,ns,,,,,
"sort_good_data/2500/iterations:100",100,89735.8,89715.1,ns,,,,,
"sort_good_data/2600/iterations:100",100,92845.1,92822.3,ns,,,,,
"sort_good_data/2700/iterations:100",100,100509,100493,ns,,,,,
"sort_good_data/2800/iterations:100",100,100595,100583,ns,,,,,
"sort_good_data/2900/iterations:100",100,106281,106267,ns,,,,,
"sort_good_data/3000/iterations:100",100,111105,111093,ns,,,,,
"sort_good_data/3100/iterations:100",100,119183,119167,ns,,,,,
"sort_good_data/3200/iterations:100",100,116407,116414,ns,,,,,
"sort_good_data/3300/iterations:100",100,125709,125709,ns,,,,,
"sort_good_data/3400/iterations:100",100,131271,131265,ns,,,,,
"sort_good_data/3500/iterations:100",100,134303,134297,ns,,,,,
"sort_good_data/3600/iterations:100",100,137275,137276,ns,,,,,
"sort_good_data/3700/iterations:100",100,141791,141792,ns,,,,,
"sort_good_data/3800/iterations:100",100,146245,146250,ns,,,,,
"sort_good_data/3900/iterations:100",100,153332,153335,ns,,,,,
"sort_good_data/4000/iterations:100",100,156602,156612,ns,,,,,
"sort_good_data/4100/iterations:100",100,159677,159686,ns,,,,,
"sort_good_data/4200/iterations:100",100,165409,165418,ns,,,,,
"sort_good_data/4300/iterations:100",100,171127,171138,ns,,,,,
"sort_good_data/4400/iterations:100",100,174166,174117,ns,,,,,
"sort_good_data/4500/iterations:100",100,181709,181721,ns,,,,,
"sort_good_data/4600/iterations:100",100,183373,183384,ns,,,,,
"sort_good_data/4700/iterations:100",100,188879,188888,ns,,,,,
"sort_good_data/4800/iterations:100",100,194589,194559,ns,,,,,
"sort_good_data/4900/iterations:100",100,201163,201173,ns,,,,,
"sort_good_data/5000/iterations:100",100,201875,201891,ns,,,,,
"sort_good_data/5100/iterations:100",100,205848,205819,ns,,,,,
"sort_good_data/5200/iterations:100",100,212189,212199,ns,,,,,
"sort_good_data/5300/iterations:100",100,215180,215195,ns,,,,,
"sort_good_data/5400/iterations:100",100,221025,221035,ns,,,,,
"sort_good_data/5500/iterations:100",100,225158,225173,ns,,,,,
"sort_good_data/5600/iterations:100",100,228445,228459,ns,,,,,
"sort_good_data/5700/iterations:100",100,234187,234196,ns,,,,,
"sort_good_data/5800/iterations:100",100,240508,240521,ns,,,,,
"sort_good_data/5900/iterations:100",100,244376,244385,ns,,,,,
"sort_good_data/6000/iterations:100",100,255193,255201,ns,,,,,
"sort_good_data/6100/iterations:100",100,255223,255237,ns,,,,,
"sort_good_data/6200/iterations:100",100,256810,256756,ns,,,,,
"sort_good_data/6300/iterations:100",100,267440,267455,ns,,,,,
